"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"62","","\Atmosphere\Radioactivity\In situ\Adsorption - scintillation counting","Adsorption - scintillation counting",NA
"280","","\Atmosphere\Total atmospheric deposition\In situ\Filter-based methods\Adsorption tube (charcoal) + elution + GC","Adsorption tube (charcoal) + elution + GC",NA
"227","","\Atmosphere\Aerosol\In situ\Optical properties\Aerodynamic particle sizing spectrometer (APS)","Aerodynamic particle sizing spectrometer (APS)",NA
"217","","\Atmosphere\Aerosol\In situ\Composition\Aerodyne mass spectrometer (AMS)","Aerodyne mass spectrometer (AMS)",NA
"4","","\Atmosphere\Aerosol","Aerosol",NA
"228","","\Atmosphere\Aerosol\In situ\Optical properties\Aerosol backscatter sonde","Aerosol backscatter sonde",NA
"63","","\Atmosphere\Wind\In situ\Aerovane (wind vane with propeller)","Aerovane (wind vane with propeller)",NA
"64","","\Atmosphere\Radioactivity\In situ\Alpha counting","Alpha counting",NA
"65","","\Atmosphere\Wind\In situ\Anemometer [general]","Anemometer [general]",NA
"66","","\Atmosphere\Pressure\In situ\Aneroid barometer (evacuated capsule)","Aneroid barometer (evacuated capsule)",NA
"67","","\Atmosphere\Total atmospheric deposition\In situ\Anion exchange membrane (AEM)","Anion exchange membrane (AEM)",NA
"68","","\Atmosphere\Evaporation\In situ\Atmometer","Atmometer",NA
"2","","\Atmosphere","Atmosphere",NA
"69","","\Atmosphere\Lightning\Remote-sensing, passive\Atmospherics (""sferics"") detection","Atmospherics (""sferics"") detection",NA
"70","","\Atmosphere\Total atmospheric deposition\In situ\Atomic absorption spectrophotometry (AAS)","Atomic absorption spectrophotometry (AAS)",NA
"71","","\Atmosphere\Total atmospheric deposition\In situ\Atomic emission spectrophotometry (AES)","Atomic emission spectrophotometry (AES)",NA
"73","","\Atmosphere\Pressure\In situ\Barometer, mercury column","Barometer, mercury column",NA
"74","","\Atmosphere\Pressure\In situ\Barometer, mercury-free column","Barometer, mercury-free column",NA
"75","","\Atmosphere\Radioactivity\In situ\Beta counting","Beta counting",NA
"263","","\Atmosphere\Radiation\In situ\Direct solar\Bimetallic actinograph","Bimetallic actinograph",NA
"76","","\Atmosphere\Temperature\In situ\Bimetal thermometer","Bimetal thermometer",NA
"77","","\Atmosphere\Micrometeorology\In situ\Bowen-ratio method","Bowen-ratio method",NA
"78","","\Atmosphere\Ozone\Remote-sensing, passive\Brewer","Brewer",NA
"79","","\Atmosphere\Ozone\In situ\Brewer-GDR","Brewer-GDR",NA
"80","","\Atmosphere\Ozone\In situ\Brewer-Mast Sonde","Brewer-Mast Sonde",NA
"72","","\Atmosphere\Radiation\In situ\BSRN compliant instrument","BSRN compliant instrument",NA
"81","","\Atmosphere\Humidity\In situ\Capacitive method","Capacitive method",NA
"82","","\Atmosphere\Precipitation\In situ\Capacitive rain sensor","Capacitive rain sensor",NA
"83","","\Atmosphere\Total atmospheric deposition\In situ\Capillary electrophoresis (CE)","Capillary electrophoresis (CE)",NA
"84","","\Atmosphere\Ozone\In situ\Carbon-Iodine Sonde (KC Sonde)","Carbon-Iodine Sonde (KC Sonde)",NA
"287","","\Atmosphere\Trace gas\In situ\Chemiluminescence\Catalytic conversion 'Au' - CL","Catalytic conversion 'Au' - CL",NA
"288","","\Atmosphere\Trace gas\In situ\Chemiluminescence\Catalytic conversion 'Fe' - CL","Catalytic conversion 'Fe' - CL",NA
