"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"NICIABP","","\Co-sponsored\GOOS\DBCP\NIC-IABP","",""
"NOAACBIBS","","\Co-sponsored\GOOS\DBCP\NOAA-CBIBS","",""
"NorwayIMR","","\Co-sponsored\GOOS\DBCP\NORWAY-IMR","",""
"NWSNDBCMB","","\Co-sponsored\GOOS\DBCP\NWS-NDBC-MB","",""
"NWSNDBCWB","","\Co-sponsored\GOOS\DBCP\NWS-NDBC-WB","",""
"oceanSITES","","\Co-sponsored\GOOS\OceanSITES","",""
"OIMARPE","","\Co-sponsored\GOOS\OceanSITES\OS-IMARPE","",""
"OSAWI","","\Co-sponsored\GOOS\OceanSITES\OS-AWI","",""
"OSBAS","","\Co-sponsored\GOOS\OceanSITES\OS-BAS","",""
"OSBCCR","","\Co-sponsored\GOOS\OceanSITES\OS-BCCR","",""
"OSBIOS","","\Co-sponsored\GOOS\OceanSITES\OS-BIOS","",""
"OSCNR","","\Co-sponsored\GOOS\OceanSITES\OS-CNR","",""
"OSCNRS","","\Co-sponsored\GOOS\OceanSITES\OS-CNRS","",""
"OSCOM","","\Co-sponsored\GOOS\OceanSITES\OS-CENTRE D'OCEANOLOGIE DE MARSEILLE","",""
"OSCSIRO","","\Co-sponsored\GOOS\OceanSITES\OS-CSIRO","",""
"OSDFO","","\Co-sponsored\GOOS\OceanSITES\OS-DFO","",""
"OSDML","","\Co-sponsored\GOOS\OceanSITES\OS-DML","",""
"OSEUTHOR","","\Co-sponsored\GOOS\OceanSITES\OS-EU-THOR","",""
"OSGEOMAR","","\Co-sponsored\GOOS\OceanSITES\OS-GEOMAR","",""
"OShamburgUniversity","","\Co-sponsored\GOOS\OceanSITES\OS-HAMBURG UNIVERSITY","",""
"OSHAV","","\Co-sponsored\GOOS\OceanSITES\OS-HAV","",""
"OSHCMR","","\Co-sponsored\GOOS\OceanSITES\OS-HELLENIC CENTRE FOR MARINE RESEARCH","",""
"OSICCMCanarias","","\Co-sponsored\GOOS\OceanSITES\OS-ICCM - ACIISI - GOBIERNO DE CANARIAS","",""
"OSIFREMER","","\Co-sponsored\GOOS\OceanSITES\OS-IFREMER","",""
"OSIMR","","\Co-sponsored\GOOS\OceanSITES\OS-INSTITUTE OF MARINE RESEARCH","",""
"OSIONTU","","\Co-sponsored\GOOS\OceanSITES\OS-IO-NTU","",""
"OSIOwarnemuende","","\Co-sponsored\GOOS\OceanSITES\OS-IO-WARNEMUENDE","",""
"OSIRD","","\Co-sponsored\GOOS\OceanSITES\OS-IRD","",""
"OSJAMSTEC","","\Co-sponsored\GOOS\OceanSITES\OS-JAMSTEC","",""
"OSKIOST","","\Co-sponsored\GOOS\OceanSITES\OS-KIOST","",""
"OSLDEO","","\Co-sponsored\GOOS\OceanSITES\OS-LDEO","",""
"OSMARUM","","\Co-sponsored\GOOS\OceanSITES\OS-MARUM","",""
"OSMBARI","","\Co-sponsored\GOOS\OceanSITES\OS-MBARI","",""
"OSNIO","","\Co-sponsored\GOOS\OceanSITES\OS-NIO","",""
"OSNIOT","","\Co-sponsored\GOOS\OceanSITES\OS-NIOT","",""
"OSNIOZ ","","\Co-sponsored\GOOS\OceanSITES\OS-ROYAL NETHERLANDS INSTITUTE FOR SEA RESEARCH (NIOZ)","",""
"OSNIWA","","\Co-sponsored\GOOS\OceanSITES\OS-NIWA","",""
"OSNOAA-AOML","","\Co-sponsored\GOOS\OceanSITES\OS-NOAA/AOML","",""
"OSNOAA-PMEL","","\Co-sponsored\GOOS\OceanSITES\OS-NOAA/PMEL","",""
"OSNOC","","\Co-sponsored\GOOS\OceanSITES\OS-NOC","",""
"OSOGS","","\Co-sponsored\GOOS\OceanSITES\OS-OGS","",""
"OSSIO","","\Co-sponsored\GOOS\OceanSITES\OS-SIO","",""
"OSSNU","","\Co-sponsored\GOOS\OceanSITES\OS-SNU","",""
"OSSOA","","\Co-sponsored\GOOS\OceanSITES\OS-SOA","",""
"OSUNhawaiiManoa","","\Co-sponsored\GOOS\OceanSITES\OS-UN_HAWAII_MANOA","",""
