"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"576","","\Atmosphere\Total Atmospheric Deposition\Organic acid\Acetate (CH3COO-)","Acetate (CH3COO-)",NA
"294","","\Atmosphere\Total Atmospheric Deposition\Acidity/Alkalinity","Acidity/Alkalinity",NA
"579","","\Atmosphere\Aerosol\Composition\Acidity/Alkalinity, total aerosol","Acidity/Alkalinity, total aerosol",NA
"37","","\Atmosphere\Aerological soundings","Aerological soundings",NA
"10001","","\Atmosphere\Aerosol","Aerosol",NA
"314","","\Atmosphere\Aerosol\Optical properties\Aerosol Absorption Optical Depth","Aerosol Absorption Optical Depth","Vertical column integral of spectral aerosol absorption coefficient: AAOD = exp(-K. &Delta z) where K is the absorption coefficient [km<sup>-1</sup>] and &Delta z the vertical path [km]"
"361","","\Atmosphere\Aerosol\Physical properties - primary\Aerosol column burden (mass density)","Aerosol column burden (mass density)","2D field of the column burden of condensed particles in the atmosphere "
"727","","\Atmosphere\Aerosol\Physical properties - primary\Dust\Aerosol dust concentration (mass)","Aerosol dust concentration (mass)","3-D field of concentration of dust or sand in the atmosphere"
"362","","\Atmosphere\Aerosol\Physical properties - primary\Aerosol effective radius","Aerosol effective radius","3D field of mean aerosol particle size, defined as the ratio of the third and second moments of the number size distribution of aerosol particles. Requested in the troposphere (assumed height: 12 km) and as columnar average."
"315","","\Atmosphere\Aerosol\Optical properties\Aerosol Extinction Coefficient","Aerosol Extinction Coefficient","3D field of spectral volumetric extinction cross-section of aerosol particles."
"728","","\Atmosphere\Aerosol\Physical properties - primary\Volcanic ash\Aerosol volcanic ash (mass concentration)","Aerosol volcanic ash (mass concentration)","3D field of mass mixing ratio of volcanic ash"
"729","","\Atmosphere\Aerosol\Physical properties - primary\Volcanic ash\Aerosol volcanic ash (Total column)","Aerosol volcanic ash (Total column)","Field of total column mass of volcanic ash"
"224","","\Atmosphere\Temperature\Air temperature (at specified distance from reference surface)","Air temperature (at specified distance from reference surface)",NA
"511","","\Outer Space\Energetic particles / solar wind \Particle flux\Alpha particles differential directional flux","Alpha particles differential directional flux",NA
"512","","\Outer Space\Energetic particles / solar wind \Particle flux\Alpha particles integral directional flux","Alpha particles integral directional flux","An alpha particle has positive charge and consists of two protons and two neutrons (the nucleus of a helium atom). Flux is the rate of flow through a reference surface, measured in particles per unit area.The directional flux is the flux limited to a certain solid angle as a function of the direction (pitch angle)."
"597","","\Atmosphere\Total Atmospheric Deposition\Trace elements\Aluminium (Al)","Aluminium (Al)",NA
